region,area,avg_unemployment
Andhra Pradesh,All,8.664
Andhra Pradesh,Rural,5.526428571428572
Andhra Pradesh,Urban,9.427857142857144
Assam,All,4.856
Assam,Rural,4.490833333333334
Assam,Urban,8.088571428571429
Bihar,All,19.471
Bihar,Rural,16.77
Bihar,Urban,21.06642857142857
Chandigarh,Urban,15.991666666666667
Chhattisgarh,All,7.819
Chhattisgarh,Rural,6.628571428571428
Chhattisgarh,Urban,11.852142857142857
Delhi,All,18.414
Delhi,Rural,15.258571428571429
Delhi,Urban,17.732142857142858
Goa,All,12.167
Goa,Rural,8.39
Goa,Urban,10.158333333333333
Gujarat,All,6.3759999999999994
Gujarat,Rural,5.917142857142857
Gujarat,Urban,7.410714285714286
Haryana,All,27.476999999999997
Haryana,Rural,25.012857142857143
Haryana,Urban,27.553571428571427
Himachal Pradesh,All,16.065
Himachal Pradesh,Rural,15.504285714285714
Himachal Pradesh,Urban,21.576428571428572
Jammu & Kashmir,All,16.477777777777778
Jammu & Kashmir,Rural,14.951818181818181
Jammu & Kashmir,Urban,17.549
Jharkhand,All,19.538999999999998
Jharkhand,Rural,15.221428571428572
Jharkhand,Urban,25.94857142857143
Karnataka,All,7.667999999999999
Karnataka,Rural,7.224285714285714
Karnataka,Urban,6.127857142857144
Kerala,All,9.434000000000001
Kerala,Rural,10.34142857142857
Kerala,Urban,9.906428571428572
Madhya Pradesh,All,6.854000000000001
Madhya Pradesh,Rural,5.653571428571429
Madhya Pradesh,Urban,9.159285714285716
Maharashtra,All,7.979000000000001
Maharashtra,Rural,6.8100000000000005
Maharashtra,Urban,8.305
Meghalaya,All,3.8659999999999997
Meghalaya,Rural,2.4750000000000005
Meghalaya,Urban,7.3015384615384615
Odisha,All,6.462000000000001
Odisha,Rural,6.612857142857143
Odisha,Urban,4.702857142857143
Puducherry,All,17.942
Puducherry,Rural,7.263333333333333
Puducherry,Urban,12.745000000000001
Punjab,All,11.981
Punjab,Rural,11.924999999999999
Punjab,Urban,12.137142857142859
Rajasthan,All,15.868
Rajasthan,Rural,10.927142857142856
Rajasthan,Urban,17.189285714285713
Sikkim,All,9.7925
Sikkim,Rural,5.08
Sikkim,Urban,8.153333333333334
Tamil Nadu,All,12.187
Tamil Nadu,Rural,8.775714285714285
Tamil Nadu,Urban,9.792857142857143
Telangana,All,6.833
Telangana,Rural,7.863571428571428
Telangana,Urban,7.6121428571428575
Tripura,All,25.055
Tripura,Rural,27.166428571428572
Tripura,Urban,29.534285714285716
Uttar Pradesh,All,9.737
Uttar Pradesh,Rural,10.20857142857143
Uttar Pradesh,Urban,14.894285714285715
Uttarakhand,All,11.156
Uttarakhand,Rural,4.882307692307692
Uttarakhand,Urban,8.162142857142857
West Bengal,All,10.192
West Bengal,Rural,7.5721428571428575
West Bengal,Urban,8.677142857142858
